iso3c,country_name,idea_country_name,idea_iso3,lower_quota_type,voluntary_details,quota_voluntary_party,quota_legislated_candidate,quota_reserved_seats,quota_strength_ordinal,has_any_quota,quota_match_status,source_file
CAF,Central African Republic,Central African Republic,CAF,Legislated Candidate Quotas,-,0,1,0,2,1,matched,export_table.csv
CAN,Canada,Canada,CAN,-,Yes,1,0,0,1,1,matched,export_table.csv
CHE,Switzerland,Switzerland,CHE,-,Yes,1,0,0,1,1,matched,export_table.csv
CHL,Chile,Chile,CHL,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
CHN,China,,,,,0,0,0,0,0,manual_review_needed,
CIV,Ivory Coast,Côte d'Ivoire,CIV,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
CMR,Cameroon,Cameroon,CMR,-,Yes,1,0,0,1,1,matched,export_table.csv
COD,Democratic Republic of the Congo,,,,,0,0,0,0,0,manual_review_needed,
COG,Republic of the Congo,Republic of The Congo (Brazzaville),COG,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
COL,Colombia,Colombia,COL,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
COM,Comoros,Comoros,COM,-,-,0,0,0,0,0,matched,export_table.csv
CPV,Cape Verde,Cabo Verde,CPV,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
CRI,Costa Rica,Costa Rica,CRI,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
CUB,Cuba,,,,,0,0,0,0,0,manual_review_needed,
CYP,Cyprus,Cyprus,CYP,-,Yes,1,0,0,1,1,matched,export_table.csv
CZE,Czechia,Czechia,CZE,-,Yes,1,0,0,1,1,matched,export_table.csv
DDR,German Democratic Republic,,,,,0,0,0,0,0,manual_review_needed,
DEU,Germany,Germany,DEU,-,Yes,1,0,0,1,1,matched,export_table.csv
DJI,Djibouti,,,,,0,0,0,0,0,manual_review_needed,
DNK,Denmark,,,,,0,0,0,0,0,manual_review_needed,
DOM,Dominican Republic,Dominican Republic,DOM,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
DZA,Algeria,Algeria,DZA,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
ECU,Ecuador,Ecuador,ECU,Legislated Candidate Quotas,No,0,1,0,2,1,matched,export_table.csv
EGY,Egypt,Egypt,EGY,Reserved seats,No,0,0,1,3,1,matched,export_table.csv
ERI,Eritrea,Eritrea,ERI,Reserved seats,No,0,0,1,3,1,matched,export_table.csv
ESP,Spain,Spain,ESP,Legislated Candidate Quotas,Yes,1,1,0,2,1,matched,export_table.csv
EST,Estonia,,,,,0,0,0,0,0,manual_review_needed,
ETH,Ethiopia,,,,,0,0,0,0,0,manual_review_needed,
FIN,Finland,,,,,0,0,0,0,0,manual_review_needed,
FJI,Fiji,,,,,0,0,0,0,0,manual_review_needed,
