iso3c,country_name,start_year,end_year,quota_type,quota_strength_base,target_stage,target_stage_score,mandating_authority,mandating_authority_level,level_scope,lower_house_scope,upper_house_scope,subnational_scope,quota_target_percent,reserved_seats_number,has_any_sanction,sanction_reject_list,sanction_financial,sanction_other,placement_mandate,rank_order_zipper,requires_constitutional_amendment,legal_basis,source_url,source_quote,source_type,coder,confidence,notes
SGP,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SLB,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SLE,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SLV,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SML,Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SOM,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SRB,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SSD,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
STP,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SUR,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SVK,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SVN,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SWE,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SWZ,Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SYC,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
SYR,Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TCD,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TGO,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
THA,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TJK,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TKM,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TLS,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TTO,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TUN,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TUR,"T""urkiye",,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TWN,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
TZA,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
UGA,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
UKR,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
URY,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
USA,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
UZB,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
VEN,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
VNM,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
VUT,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
XKX,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
YEM,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
YMD,South Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ZAF,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ZMB,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ZWE,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
ZZB,Zanzibar,,,,,,,,,,,,,,,,,,,,,,,,,,,not_coded,Fill only when a verified quota interval exists; no-quota years are created automatically.
